"","x"
"symboling2",2.2296986016275
"`carmakealfa-romero`",2.51817964325649
"carmakeaudi",3.12206594280515
"carmakebmw",1.81212966305454
"carmakechevrolet",1.37150134177392
"carmakedodge",2.24228355780965
"carmakeisuzu",1.49469066936921
"carmakejaguar",2.21555754496599
"carmakemitsubishi",2.93060396588819
"carmakenissan",2.33451683251534
"carmakepeugeot",17.8574055197344
"carmakeplymouth",1.9279205172591
"carmakeporsche",5.87450126909184
"carmakesaab",2.33928945158964
"carmakesubaru",18.8844529908501
"carmaketoyota",2.81941164114146
"aspiration",2.59386082549943
"doornumber",2.75453077194896
"carbodyconvertible",2.39107316482049
"carbodyhardtop",1.82679238650251
"drivewheel4wd",3.87542768037482
"drivewheelfwd",8.59935160570216
"enginelocation",8.06241072021965
"wheelbase",13.637961468399
"carlength",22.005589796015
"carheight",5.00036771049337
"curbweight",31.2305696710392
"enginetypedohc",14.4260528489722
"enginetypedohcv",4.13177687870668
"enginetypeohc",62.9886524376022
"enginetypeohcv",22.7249746507816
"cylindernumberfive",5.93782838179491
"cylindernumberfour",22.971045778272
"enginesize",33.1363516620266
"fuelsystem1bbl",3.0529787964884
"fuelsystemmpfi",4.25226551931838
"boreratio",14.9230457796307
"stroke",6.10598841776856
"compressionratio",5.16401502055355
"peakrpm",4.59699498288785
"highwaympg",11.9673641347298
